Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-07-01,0.837, 1984,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-07-11,0.812, 1984,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-07-21,0.782, 1984,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-08-01,0.77, 1984,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-08-11,0.781, 1984,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-08-21,0.803, 1984,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-09-01,0.802, 1984,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-09-11,0.758, 1984,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-09-21,0.684, 1984,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-10-01,0.659, 1984,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-10-11,0.615, 1984,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-10-21,0.658, 1984,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-11-01,0.718, 1984,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-11-11,0.691, 1984,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-11-21,0.672, 1984,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-12-01,0.663, 1984,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-12-11,0.679, 1984,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1984-12-21,0.614, 1984,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-01-01,0.55, 1985,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-01-11,0.623, 1985,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-01-21,0.562, 1985,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-02-01,0.533, 1985,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-02-11,0.527, 1985,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-02-21,0.548, 1985,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-03-01,0.45, 1985,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-03-11,0.532, 1985,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-03-21,0.629, 1985,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-04-01,0.737, 1985,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-04-11,0.702, 1985,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-04-21,0.573, 1985,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-05-01,0.468, 1985,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-05-11,0.403, 1985,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-05-21,0.431, 1985,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-06-01,0.405, 1985,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-06-11,0.398, 1985,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-06-21,0.417, 1985,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-07-01,0.391, 1985,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-07-11,0.372, 1985,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-07-21,0.353, 1985,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-08-01,0.353, 1985,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-08-11,0.376, 1985,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-08-21,0.442, 1985,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-09-01,0.427, 1985,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-09-11,0.416, 1985,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-09-21,0.37, 1985,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-10-01,0.401, 1985,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-10-11,0.418, 1985,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-10-21,0.436, 1985,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-11-01,0.423, 1985,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-11-11,0.373, 1985,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-11-21,0.331, 1985,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-12-01,0.455, 1985,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-12-11,0.44, 1985,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1985-12-21,0.449, 1985,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-01-01,0.377, 1986,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-01-11,0.383, 1986,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-01-21,0.33, 1986,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-02-01,0.324, 1986,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-02-11,0.348, 1986,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-02-21,0.343, 1986,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-03-01,0.272, 1986,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-03-11,0.331, 1986,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-03-21,0.315, 1986,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-04-01,0.329, 1986,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-04-11,0.312, 1986,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-04-21,0.354, 1986,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-05-01,0.411, 1986,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-05-11,0.415, 1986,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-05-21,0.438, 1986,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-06-01,0.359, 1986,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-06-11,0.344, 1986,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-06-21,0.344, 1986,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-07-01,0.305, 1986,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-07-11,0.322, 1986,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-07-21,0.356, 1986,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-08-01,0.363, 1986,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-08-11,0.341, 1986,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-08-21,0.33, 1986,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-09-01,0.305, 1986,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-09-11,0.323, 1986,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-09-21,0.346, 1986,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-10-01,0.394, 1986,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-10-11,0.33, 1986,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-10-21,0.357, 1986,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-11-01,0.391, 1986,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-11-11,0.474, 1986,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-11-21,0.48, 1986,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-12-01,0.539, 1986,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-12-11,0.567, 1986,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1986-12-21,0.476, 1986,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-01-01,0.433, 1987,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-01-11,0.44, 1987,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-01-21,0.447, 1987,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-02-01,0.395, 1987,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-02-11,0.399, 1987,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-02-21,0.363, 1987,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-03-01,0.306, 1987,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-03-11,0.381, 1987,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-03-21,0.514, 1987,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-04-01,0.665, 1987,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-04-11,0.719, 1987,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-04-21,0.659, 1987,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-05-01,0.524, 1987,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-05-11,0.424, 1987,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-05-21,0.45, 1987,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-06-01,0.492, 1987,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-06-11,0.461, 1987,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-06-21,0.439, 1987,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-07-01,0.396, 1987,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-07-11,0.387, 1987,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-07-21,0.409, 1987,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-08-01,0.413, 1987,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-08-11,0.415, 1987,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-08-21,0.495, 1987,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-09-01,0.477, 1987,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-09-11,0.476, 1987,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-09-21,0.515, 1987,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-10-01,0.519, 1987,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-10-11,0.529, 1987,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-10-21,0.586, 1987,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-11-01,0.541, 1987,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-11-11,0.538, 1987,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-11-21,0.48, 1987,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-12-01,0.54, 1987,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-12-11,0.572, 1987,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1987-12-21,0.593, 1987,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-01-01,0.566, 1988,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-01-11,0.557, 1988,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-01-21,0.483, 1988,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-02-01,0.421, 1988,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-02-11,0.455, 1988,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-02-21,0.436, 1988,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-03-01,0.534, 1988,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-03-11,0.685, 1988,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-03-21,0.651, 1988,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-04-01,0.656, 1988,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-04-11,0.642, 1988,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-04-21,0.657, 1988,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-05-01,0.708, 1988,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-05-11,0.6, 1988,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-05-21,0.608, 1988,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-06-01,0.578, 1988,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-06-11,0.563, 1988,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-06-21,0.536, 1988,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-07-01,0.509, 1988,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-07-11,0.533, 1988,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-07-21,0.54, 1988,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-08-01,0.57, 1988,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-08-11,0.552, 1988,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-08-21,0.585, 1988,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-09-01,0.564, 1988,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-09-11,0.547, 1988,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-09-21,0.585, 1988,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-10-01,0.62, 1988,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-10-11,0.645, 1988,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-10-21,0.558, 1988,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-11-01,0.476, 1988,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-11-11,0.424, 1988,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-11-21,0.434, 1988,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-12-01,0.566, 1988,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-12-11,0.598, 1988,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1988-12-21,0.625, 1988,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-01-01,0.542, 1989,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-01-11,0.565, 1989,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-01-21,0.573, 1989,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-02-01,0.5, 1989,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-02-11,0.495, 1989,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-02-21,0.475, 1989,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-03-01,0.454, 1989,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-03-11,0.484, 1989,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-03-21,0.503, 1989,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-04-01,0.449, 1989,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-04-11,0.401, 1989,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-04-21,0.392, 1989,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-05-01,0.405, 1989,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-05-11,0.395, 1989,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-05-21,0.302, 1989,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-06-01,0.26, 1989,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-06-11,0.272, 1989,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-06-21,0.27, 1989,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-07-01,0.3, 1989,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-07-11,0.309, 1989,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-07-21,0.321, 1989,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-08-01,0.319, 1989,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-08-11,0.296, 1989,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-08-21,0.32, 1989,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-09-01,0.303, 1989,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-09-11,0.312, 1989,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-09-21,0.307, 1989,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-10-01,0.343, 1989,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-10-11,0.396, 1989,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-10-21,0.463, 1989,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-11-01,0.407, 1989,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-11-11,0.361, 1989,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-11-21,0.326, 1989,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-12-01,0.375, 1989,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-12-11,0.392, 1989,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1989-12-21,0.351, 1989,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-01-01,0.311, 1990,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-01-11,0.382, 1990,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-01-21,0.419, 1990,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-02-01,0.444, 1990,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-02-11,0.48, 1990,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-02-21,0.504, 1990,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-03-01,0.473, 1990,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-03-11,0.487, 1990,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-03-21,0.396, 1990,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-04-01,0.376, 1990,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-04-11,0.34, 1990,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-04-21,0.321, 1990,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-05-01,0.327, 1990,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-05-11,0.35, 1990,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-05-21,0.405, 1990,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-06-01,0.38, 1990,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-06-11,0.361, 1990,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-06-21,0.347, 1990,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-07-01,0.316, 1990,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-07-11,0.338, 1990,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-07-21,0.353, 1990,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-08-01,0.346, 1990,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-08-11,0.338, 1990,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-08-21,0.35, 1990,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-09-01,0.363, 1990,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-09-11,0.385, 1990,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-09-21,0.412, 1990,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-10-01,0.439, 1990,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-10-11,0.396, 1990,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-10-21,0.407, 1990,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-11-01,0.418, 1990,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Niger,2202,Agadez,1990-11-11,0.407, 1990,11,2, ,FAO-ASIS
