Indicator,Country,ADM1_CODE,Province,Date,Data,Year,Month,Dekad,Unit,Source
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-02-21,0.375, 1986,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-03-01,0.406, 1986,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-03-11,0.378, 1986,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-03-21,0.38, 1986,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-04-01,0.348, 1986,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-04-11,0.294, 1986,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-04-21,0.295, 1986,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-05-01,0.26, 1986,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-05-11,0.292, 1986,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-05-21,0.257, 1986,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-06-01,0.312, 1986,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-06-11,0.414, 1986,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-06-21,0.491, 1986,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-07-01,0.428, 1986,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-07-11,0.426, 1986,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-07-21,0.375, 1986,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-08-01,0.284, 1986,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-08-11,0.205, 1986,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-08-21,0.31, 1986,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-09-01,0.385, 1986,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-09-11,0.65, 1986,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-09-21,0.729, 1986,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-10-01,0.594, 1986,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-10-11,0.529, 1986,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-10-21,0.492, 1986,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-11-01,0.49, 1986,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-11-11,0.403, 1986,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-11-21,0.36, 1986,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-12-01,0.402, 1986,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-12-11,0.439, 1986,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1986-12-21,0.437, 1986,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-01-01,0.4, 1987,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-01-11,0.412, 1987,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-01-21,0.465, 1987,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-02-01,0.439, 1987,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-02-11,0.452, 1987,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-02-21,0.47, 1987,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-03-01,0.505, 1987,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-03-11,0.506, 1987,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-03-21,0.518, 1987,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-04-01,0.394, 1987,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-04-11,0.253, 1987,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-04-21,0.157, 1987,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-05-01,0.125, 1987,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-05-11,0.18, 1987,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-05-21,0.151, 1987,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-06-01,0.328, 1987,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-06-11,0.544, 1987,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-06-21,0.482, 1987,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-07-01,0.327, 1987,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-07-11,0.251, 1987,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-07-21,0.303, 1987,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-08-01,0.336, 1987,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-08-11,0.436, 1987,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-08-21,0.409, 1987,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-09-01,0.463, 1987,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-09-11,0.605, 1987,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-09-21,0.608, 1987,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-10-01,0.746, 1987,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-10-11,0.718, 1987,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-10-21,0.743, 1987,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-11-01,0.698, 1987,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-11-11,0.552, 1987,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-11-21,0.396, 1987,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-12-01,0.299, 1987,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-12-11,0.448, 1987,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1987-12-21,0.416, 1987,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-01-01,0.467, 1988,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-01-11,0.467, 1988,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-01-21,0.477, 1988,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-02-01,0.497, 1988,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-02-11,0.545, 1988,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-02-21,0.532, 1988,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-03-01,0.586, 1988,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-03-11,0.509, 1988,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-03-21,0.483, 1988,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-04-01,0.428, 1988,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-04-11,0.258, 1988,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-04-21,0.181, 1988,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-05-01,0.199, 1988,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-05-11,0.282, 1988,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-05-21,0.322, 1988,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-06-01,0.471, 1988,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-06-11,0.58, 1988,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-06-21,0.669, 1988,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-07-01,0.798, 1988,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-07-11,0.838, 1988,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-07-21,0.768, 1988,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-08-01,0.758, 1988,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-08-11,0.875, 1988,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-08-21,0.746, 1988,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-09-01,0.625, 1988,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-09-11,0.517, 1988,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-09-21,0.51, 1988,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-10-01,0.596, 1988,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-10-11,0.613, 1988,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-10-21,0.641, 1988,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-11-01,0.721, 1988,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-11-11,0.664, 1988,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-11-21,0.65, 1988,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-12-01,0.75, 1988,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-12-11,0.726, 1988,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1988-12-21,0.628, 1988,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-01-01,0.574, 1989,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-01-11,0.511, 1989,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-01-21,0.537, 1989,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-02-01,0.549, 1989,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-02-11,0.574, 1989,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-02-21,0.485, 1989,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-03-01,0.536, 1989,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-03-11,0.557, 1989,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-03-21,0.49, 1989,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-04-01,0.452, 1989,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-04-11,0.347, 1989,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-04-21,0.374, 1989,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-05-01,0.285, 1989,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-05-11,0.256, 1989,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-05-21,0.176, 1989,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-06-01,0.473, 1989,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-06-11,0.629, 1989,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-06-21,0.709, 1989,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-07-01,0.645, 1989,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-07-11,0.81, 1989,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-07-21,0.756, 1989,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-08-01,0.663, 1989,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-08-11,0.616, 1989,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-08-21,0.464, 1989,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-09-01,0.345, 1989,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-09-11,0.44, 1989,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-09-21,0.572, 1989,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-10-01,0.57, 1989,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-10-11,0.58, 1989,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-10-21,0.605, 1989,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-11-01,0.603, 1989,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-11-11,0.598, 1989,11,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-11-21,0.558, 1989,11,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-12-01,0.538, 1989,12,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-12-11,0.559, 1989,12,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1989-12-21,0.519, 1989,12,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-01-01,0.507, 1990,01,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-01-11,0.494, 1990,01,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-01-21,0.509, 1990,01,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-02-01,0.514, 1990,02,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-02-11,0.486, 1990,02,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-02-21,0.446, 1990,02,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-03-01,0.49, 1990,03,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-03-11,0.427, 1990,03,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-03-21,0.4, 1990,03,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-04-01,0.397, 1990,04,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-04-11,0.436, 1990,04,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-04-21,0.666, 1990,04,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-05-01,0.716, 1990,05,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-05-11,0.633, 1990,05,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-05-21,0.43, 1990,05,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-06-01,0.48, 1990,06,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-06-11,0.628, 1990,06,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-06-21,0.736, 1990,06,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-07-01,0.806, 1990,07,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-07-11,0.86, 1990,07,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-07-21,0.703, 1990,07,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-08-01,0.513, 1990,08,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-08-11,0.376, 1990,08,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-08-21,0.392, 1990,08,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-09-01,0.435, 1990,09,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-09-11,0.594, 1990,09,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-09-21,0.732, 1990,09,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-10-01,0.684, 1990,10,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-10-11,0.552, 1990,10,2, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-10-21,0.473, 1990,10,3, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-11-01,0.432, 1990,11,1, ,FAO-ASIS
Vegetation Health Index (VHI),Mali,1926,Bamako,1990-11-11,0.432, 1990,11,2, ,FAO-ASIS
